version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 554777593914 eni-05784332a71d1bdd5 183.136.225.12 10.0.0.7 27299 11001 6 1 44 1621804392 1621804392 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 48773 33453 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 34506 33440 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 56283 33453 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 88 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 52587 33447 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 108.170.232.213 10.0.0.7 0 0 1 1 96 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 134.209.111.46 10.0.0.7 45094 9200 6 2 120 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 60995 33437 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 6413 33472 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 216.182.226.130 10.0.0.7 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 35773 33454 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 54236 33439 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 96 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 60968 33436 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 57777 33447 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 39838 33439 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 40761 33465 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 100.100.34.82 10.0.0.7 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 49523 33472 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.60.67 10.0.0.7 0 0 1 1 88 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 14458 33454 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 100.66.42.240 10.0.0.7 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 62765 33465 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 47075 33437 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 27846 33440 17 1 60 1621804289 1621804348 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 4 224 1621804289 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 8.8.8.8 10.0.0.7 0 0 1 4 224 1621804289 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 40663 33445 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 128.1.91.202 10.0.0.7 36199 8080 6 1 40 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 58286 33445 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 6580 33447 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 41410 33438 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 96 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 30462 33443 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.44.22 10.0.0.7 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 37399 33443 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 143.110.185.171 10.0.0.7 44327 9258 6 1 40 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 36206 33452 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 99.83.68.209 10.0.0.7 0 0 1 1 96 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 39198 33452 17 1 60 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 10.0.1.115 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 52.93.29.1 10.0.0.7 0 0 1 1 56 1621804366 1621804408 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 240.0.28.21 10.0.0.7 0 0 1 1 88 1621804366 1621804408 ACCEPT OK
